sub_region_1,Nation
Aberdeen City,Scotland
Aberdeenshire,Scotland
Angus Council,Scotland
Antrim and Newtownabbey,Northern Ireland
Ards and North Down,Northern Ireland
Argyll and Bute Council,Scotland
"Armagh City, Banbridge and Craigavon",Northern Ireland
Bath and North East Somerset,England
Bedford,England
Belfast,Northern Ireland
Blackburn with Darwen,England
Blackpool,England
Blaenau Gwent,Wales
Borough of Halton,England
Bracknell Forest,England
Bridgend County Borough,Wales
Brighton and Hove,England
Bristol City,England
Buckinghamshire,England
Caerphilly County Borough,Wales
Cambridgeshire,England
Cardiff,Wales
Carmarthenshire,Wales
Causeway Coast and Glens,Northern Ireland
Central Bedfordshire,England
Ceredigion,Wales
Cheshire East,England
Cheshire West and Chester,England
Clackmannanshire,Scotland
Conwy Principal Area,Wales
Cornwall,England
County Durham,England
Cumbria,England
Darlington,England
Denbighshire,Wales
Derby,England
Derbyshire,England
Derry and Strabane,Northern Ireland
Devon,England
Dorset,England
Dumfries and Galloway,Scotland
Dundee City Council,Scotland
East Ayrshire Council,Scotland
East Dunbartonshire Council,Scotland
East Lothian Council,Scotland
East Renfrewshire Council,Scotland
East Riding of Yorkshire,England
East Sussex,England
Edinburgh,Scotland
Essex,England
Falkirk,Scotland
Fermanagh and Omagh,Northern Ireland
Fife,Scotland
Flintshire,Wales
Glasgow City,Scotland
Gloucestershire,England
Greater London,England
Greater Manchester,England
Gwynedd,Wales
Hampshire,England
Hartlepool,England
Herefordshire,England
Hertfordshire,England
Highland Council,Scotland
Inverclyde,Scotland
Isle of Anglesey,Wales
Isle of Wight,England
Kent,England
Kingston upon Hull,England
Lancashire,England
Leicester,England
Leicestershire,England
Lincolnshire,England
Lisburn and Castlereagh,Northern Ireland
Luton,England
Medway,England
Merseyside,England
Merthyr Tydfil County Borough,Wales
Mid and East Antrim,Northern Ireland
Mid Ulster,Northern Ireland
Middlesbrough,England
Midlothian,Scotland
Milton Keynes,England
Monmouthshire,Wales
Moray,Scotland
Na h-Eileanan an Iar,Scotland
Neath Port Talbot Principle Area,Wales
Newport,Wales
"Newry, Mourne and Down",Northern Ireland
Norfolk,England
North Ayrshire Council,Scotland
North East Lincolnshire,England
North Lanarkshire,Scotland
North Lincolnshire,England
North Somerset,England
North Yorkshire,England
Northamptonshire,England
Northumberland,England
Nottingham,England
Nottinghamshire,England
Orkney,Scotland
Oxfordshire,England
Pembrokeshire,Wales
Perth and Kinross,Scotland
Peterborough,England
Plymouth,England
Portsmouth,England
Powys,Wales
Reading,England
Redcar and Cleveland,England
Renfrewshire,Scotland
Rhondda Cynon Taff,Wales
Rutland,England
Scottish Borders,Scotland
Shetland Islands,Scotland
Shropshire,England
Slough,England
Somerset,England
South Ayrshire Council,Scotland
South Gloucestershire,England
South Lanarkshire,Scotland
South Yorkshire,England
Southampton,England
Southend-on-Sea,England
Staffordshire,England
Stirling,Scotland
Stockton-on-Tees,England
Stoke-on-Trent,England
Suffolk,England
Surrey,England
Swansea,Wales
Swindon,England
Thurrock,England
Torbay,England
Torfaen Principal Area,Wales
Tyne and Wear,England
Vale of Glamorgan,Wales
Warrington,England
Warwickshire,England
West Berkshire,England
West Dunbartonshire Council,Scotland
West Lothian,Scotland
West Midlands,England
West Sussex,England
West Yorkshire,England
Wiltshire,England
Windsor and Maidenhead,England
Wokingham,England
Worcestershire,England
Wrexham Principal Area,Wales
York,England
United Kingdom,All
All,All
